INFO	?	main	2016-12-15T12:00:53.004Z	org.javacs.JavaLanguageServer#doLint	Lint [/home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/utils/JacksonJsonConverter.java, /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/VsCodeTest.java, /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/json/TransactionJson.java, /home/iroko/pitaside/workspace/opensource/paystack/src/test/java/com/flexisaf/sdk/paystack/PaystackSDKTest.java, /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/PaystackTransaction.java]
INFO	?	main	2016-12-15T12:02:19.545Z	org.javacs.JavaLanguageServer#doLint	Lint [/home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/utils/JacksonJsonConverter.java, /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/VsCodeTest.java, /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/json/TransactionJson.java, /home/iroko/pitaside/workspace/opensource/paystack/src/test/java/com/flexisaf/sdk/paystack/PaystackSDKTest.java, /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/PaystackTransaction.java]
INFO	?	main	2016-12-15T12:02:56.144Z	org.javacs.JavaLanguageServer#doLint	Lint [/home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/utils/JacksonJsonConverter.java, /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/VsCodeTest.java, /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/json/TransactionJson.java, /home/iroko/pitaside/workspace/opensource/paystack/src/test/java/com/flexisaf/sdk/paystack/PaystackSDKTest.java, /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/PaystackTransaction.java]
INFO	?	main	2016-12-15T12:03:01.694Z	org.javacs.JavaLanguageServer#doLint	Lint [/home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/utils/JacksonJsonConverter.java, /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/VsCodeTest.java, /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/json/TransactionJson.java, /home/iroko/pitaside/workspace/opensource/paystack/src/test/java/com/flexisaf/sdk/paystack/PaystackSDKTest.java, /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/PaystackTransaction.java]
INFO	?	main	2016-12-15T12:03:59.490Z	org.javacs.JavaLanguageServer#doLint	Lint [/home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/utils/JacksonJsonConverter.java, /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/VsCodeTest.java, /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/json/TransactionJson.java, /home/iroko/pitaside/workspace/opensource/paystack/src/test/java/com/flexisaf/sdk/paystack/PaystackSDKTest.java, /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/PaystackTransaction.java]
INFO	?	main	2016-12-15T12:04:01.018Z	org.javacs.JavaLanguageServer#doLint	Lint [/home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/utils/JacksonJsonConverter.java, /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/VsCodeTest.java, /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/json/TransactionJson.java, /home/iroko/pitaside/workspace/opensource/paystack/src/test/java/com/flexisaf/sdk/paystack/PaystackSDKTest.java, /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/PaystackTransaction.java]
INFO	?	main	2016-12-15T12:04:29.712Z	org.javacs.JavaLanguageServer#doLint	Lint [/home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/utils/JacksonJsonConverter.java, /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/VsCodeTest.java, /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/json/TransactionJson.java, /home/iroko/pitaside/workspace/opensource/paystack/src/test/java/com/flexisaf/sdk/paystack/PaystackSDKTest.java, /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/PaystackTransaction.java]
INFO	?	main	2016-12-15T12:04:30.536Z	org.javacs.JavaLanguageServer#doLint	Lint [/home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/utils/JacksonJsonConverter.java, /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/VsCodeTest.java, /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/json/TransactionJson.java, /home/iroko/pitaside/workspace/opensource/paystack/src/test/java/com/flexisaf/sdk/paystack/PaystackSDKTest.java, /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/PaystackTransaction.java]
INFO	?	main	2016-12-15T12:04:32.991Z	org.javacs.JavaLanguageServer#doLint	Lint [/home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/utils/JacksonJsonConverter.java, /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/VsCodeTest.java, /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/json/TransactionJson.java, /home/iroko/pitaside/workspace/opensource/paystack/src/test/java/com/flexisaf/sdk/paystack/PaystackSDKTest.java, /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/PaystackTransaction.java]
INFO	?	main	2016-12-15T12:07:26.356Z	org.javacs.JavaLanguageServer#doLint	Lint [/home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/utils/JacksonJsonConverter.java, /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/VsCodeTest.java, /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/json/TransactionJson.java, /home/iroko/pitaside/workspace/opensource/paystack/src/test/java/com/flexisaf/sdk/paystack/PaystackSDKTest.java, /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/PaystackTransaction.java]
INFO	?	main	2016-12-15T12:07:45.759Z	org.javacs.JavaLanguageServer#doLint	Lint [/home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/utils/JacksonJsonConverter.java, /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/VsCodeTest.java, /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/json/TransactionJson.java, /home/iroko/pitaside/workspace/opensource/paystack/src/test/java/com/flexisaf/sdk/paystack/PaystackSDKTest.java, /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/PaystackTransaction.java]
INFO	?	main	2016-12-15T12:07:47.233Z	org.javacs.JavaLanguageServer#doLint	Lint [/home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/utils/JacksonJsonConverter.java, /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/VsCodeTest.java, /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/json/TransactionJson.java, /home/iroko/pitaside/workspace/opensource/paystack/src/test/java/com/flexisaf/sdk/paystack/PaystackSDKTest.java, /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/PaystackTransaction.java]
INFO	?	main	2016-12-15T12:08:55.802Z	org.javacs.JavaLanguageServer#doLint	Lint [/home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/utils/JacksonJsonConverter.java, /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/VsCodeTest.java, /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/json/TransactionJson.java, /home/iroko/pitaside/workspace/opensource/paystack/src/test/java/com/flexisaf/sdk/paystack/PaystackSDKTest.java, /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/PaystackTransaction.java]
WARNING	?	main	2016-12-15T12:09:02.923Z	org.javacs.AutocompleteVisitor#visitSelect	No type for com
WARNING	?	main	2016-12-15T12:10:16.305Z	org.javacs.AutocompleteVisitor#visitSelect	No type for com
WARNING	?	main	2016-12-15T12:10:37.283Z	org.javacs.AutocompleteVisitor#visitSelect	No type for com
WARNING	?	main	2016-12-15T12:10:40.475Z	org.javacs.AutocompleteVisitor#visitSelect	No type for com
WARNING	?	main	2016-12-15T12:10:40.887Z	org.javacs.AutocompleteVisitor#visitSelect	No type for com
WARNING	?	main	2016-12-15T12:11:00.077Z	org.javacs.AutocompleteVisitor#visitSelect	No type for com.flexisaf
WARNING	?	main	2016-12-15T12:11:01.439Z	org.javacs.AutocompleteVisitor#visitSelect	No type for com.flexisaf
WARNING	?	main	2016-12-15T12:11:02.860Z	org.javacs.AutocompleteVisitor#visitSelect	No type for com.flexisaf.sdk
INFO	?	main	2016-12-15T12:11:08.101Z	org.javacs.JavaLanguageServer#doLint	Lint [/home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/utils/JacksonJsonConverter.java, /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/VsCodeTest.java, /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/json/TransactionJson.java, /home/iroko/pitaside/workspace/opensource/paystack/src/test/java/com/flexisaf/sdk/paystack/PaystackSDKTest.java, /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/PaystackTransaction.java]
INFO	?	main	2016-12-15T12:11:35.273Z	org.javacs.JavaLanguageServer#doLint	Lint [/home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/utils/JacksonJsonConverter.java, /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/VsCodeTest.java, /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/json/TransactionJson.java, /home/iroko/pitaside/workspace/opensource/paystack/src/test/java/com/flexisaf/sdk/paystack/PaystackSDKTest.java, /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/PaystackTransaction.java]
INFO	?	InitialIndex	2016-12-15T12:11:36.096Z	org.javacs.SymbolIndex$1#parseAll	Index /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/utils/JacksonJsonConverter.java
INFO	?	InitialIndex	2016-12-15T12:11:36.099Z	org.javacs.SymbolIndex$1#parseAll	Index /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/VsCodeTest.java
INFO	?	InitialIndex	2016-12-15T12:11:36.101Z	org.javacs.SymbolIndex$1#parseAll	Index /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/PaystackTransaction.java
INFO	?	InitialIndex	2016-12-15T12:11:36.103Z	org.javacs.SymbolIndex$1#parseAll	Index /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/json/TransactionJson.java
INFO	?	InitialIndex	2016-12-15T12:11:36.104Z	org.javacs.SymbolIndex$1#parseAll	Index /home/iroko/pitaside/workspace/opensource/paystack/src/test/java/com/flexisaf/sdk/paystack/PaystackSDKTest.java
INFO	?	main	2016-12-15T12:17:39.457Z	org.javacs.Main#run	Connection closed
